area,dist_percent,pickup_day,pickup_hour,avg_speed,count
Brooklyn_Bridge,high,0,8,6.9064945479221835,5.0
Brooklyn_Bridge,high,0,9,6.9064945479221835,1.0
Brooklyn_Bridge,high,0,10,6.9064945479221835,1.0
Brooklyn_Bridge,high,0,11,6.9064945479221835,1.0
Brooklyn_Bridge,high,0,12,6.9064945479221835,
Brooklyn_Bridge,high,0,13,6.9064945479221835,1.0
Brooklyn_Bridge,high,0,14,6.9064945479221835,
Brooklyn_Bridge,high,0,15,6.9064945479221835,2.0
Brooklyn_Bridge,high,0,16,6.9064945479221835,
Brooklyn_Bridge,high,0,17,6.9064945479221835,1.0
Brooklyn_Bridge,high,0,18,6.9064945479221835,2.0
Brooklyn_Bridge,high,0,19,6.9064945479221835,2.0
Brooklyn_Bridge,high,0,20,6.9064945479221835,2.0
Brooklyn_Bridge,high,0,21,6.9064945479221835,1.0
Brooklyn_Bridge,high,0,22,6.9064945479221835,1.0
Brooklyn_Bridge,high,0,23,6.9064945479221835,1.0
Brooklyn_Bridge,high,1,0,6.9064945479221835,
Brooklyn_Bridge,high,1,1,6.9064945479221835,
Brooklyn_Bridge,high,1,2,6.9064945479221835,1.0
Brooklyn_Bridge,high,1,3,6.9064945479221835,
Brooklyn_Bridge,high,1,4,6.9064945479221835,
Brooklyn_Bridge,high,1,5,6.9064945479221835,
Brooklyn_Bridge,high,1,6,6.9064945479221835,3.0
Brooklyn_Bridge,high,1,7,6.9064945479221835,2.0
Brooklyn_Bridge,high,1,8,11.910580720403464,5.0
Brooklyn_Bridge,high,1,9,8.911497584263959,5.0
Brooklyn_Bridge,high,1,10,8.911497584263959,
Brooklyn_Bridge,high,1,11,8.911497584263959,4.0
Brooklyn_Bridge,high,1,12,8.911497584263959,4.0
Brooklyn_Bridge,high,1,13,8.591337248936561,6.0
Brooklyn_Bridge,high,1,14,8.591337248936561,1.0
Brooklyn_Bridge,high,1,15,8.591337248936561,3.0
Brooklyn_Bridge,high,1,16,8.591337248936561,
Brooklyn_Bridge,high,1,17,8.591337248936561,1.0
Brooklyn_Bridge,high,1,18,8.591337248936561,3.0
Brooklyn_Bridge,high,1,19,8.591337248936561,2.0
Brooklyn_Bridge,high,1,20,8.591337248936561,
Brooklyn_Bridge,high,1,21,8.591337248936561,
Brooklyn_Bridge,high,1,22,8.591337248936561,1.0
Brooklyn_Bridge,high,1,23,8.591337248936561,
Brooklyn_Bridge,high,2,0,8.591337248936561,
Brooklyn_Bridge,high,2,1,8.591337248936561,
Brooklyn_Bridge,high,2,2,8.591337248936561,
Brooklyn_Bridge,high,2,3,8.591337248936561,
Brooklyn_Bridge,high,2,4,8.591337248936561,
Brooklyn_Bridge,high,2,5,8.591337248936561,1.0
Brooklyn_Bridge,high,2,6,8.591337248936561,
Brooklyn_Bridge,high,2,7,8.591337248936561,2.0
Brooklyn_Bridge,high,2,8,10.736367236810041,5.0
Brooklyn_Bridge,high,2,9,10.736367236810041,2.0
