pickup_borough,pickup_day,pickup_hour,dist_bins,mean_speed
Bronx,0,0,"(0.249, 0.566]",5.850292643329533
Bronx,0,0,"(0.566, 0.757]",5.850292643329533
Bronx,0,0,"(0.757, 0.951]",8.359358996833885
Bronx,0,0,"(0.951, 1.168]",8.359358996833885
Bronx,0,0,"(1.168, 1.426]",8.359358996833885
Bronx,0,0,"(1.426, 1.764]",12.662524645618907
Bronx,0,0,"(1.764, 2.261]",12.662524645618907
Bronx,0,0,"(2.261, 3.113]",13.634736125552331
Bronx,0,0,"(3.113, 5.144]",15.549708429078551
Bronx,0,0,"(5.144, 72.461]",21.867791223908725
Bronx,0,1,"(0.249, 0.566]",21.867791223908725
Bronx,0,1,"(0.566, 0.757]",21.867791223908725
Bronx,0,1,"(0.757, 0.951]",21.867791223908725
Bronx,0,1,"(0.951, 1.168]",10.324837606869767
Bronx,0,1,"(1.168, 1.426]",10.324837606869767
Bronx,0,1,"(1.426, 1.764]",8.299803220945094
Bronx,0,1,"(1.764, 2.261]",8.299803220945094
Bronx,0,1,"(2.261, 3.113]",21.869169687300445
Bronx,0,1,"(3.113, 5.144]",12.683748333951446
Bronx,0,1,"(5.144, 72.461]",12.683748333951446
Bronx,0,2,"(0.249, 0.566]",12.683748333951446
Bronx,0,2,"(0.566, 0.757]",12.683748333951446
Bronx,0,2,"(0.757, 0.951]",16.856588201355635
Bronx,0,2,"(0.951, 1.168]",16.856588201355635
Bronx,0,2,"(1.168, 1.426]",16.856588201355635
Bronx,0,2,"(1.426, 1.764]",14.384873335387697
Bronx,0,2,"(1.764, 2.261]",14.384873335387697
Bronx,0,2,"(2.261, 3.113]",16.091651307371
Bronx,0,2,"(3.113, 5.144]",16.091651307371
Bronx,0,2,"(5.144, 72.461]",24.365572141372922
Bronx,0,3,"(0.249, 0.566]",9.73641839592301
Bronx,0,3,"(0.566, 0.757]",9.73641839592301
Bronx,0,3,"(0.757, 0.951]",9.73641839592301
Bronx,0,3,"(0.951, 1.168]",9.73641839592301
Bronx,0,3,"(1.168, 1.426]",12.152234479377293
Bronx,0,3,"(1.426, 1.764]",12.152234479377293
Bronx,0,3,"(1.764, 2.261]",12.77005468412878
Bronx,0,3,"(2.261, 3.113]",10.312860619673058
Bronx,0,3,"(3.113, 5.144]",11.974530773869946
Bronx,0,3,"(5.144, 72.461]",11.974530773869946
Bronx,0,4,"(0.249, 0.566]",11.974530773869946
Bronx,0,4,"(0.566, 0.757]",11.974530773869946
Bronx,0,4,"(0.757, 0.951]",13.537900581617848
